BOTTLE,201151214CDIACAKO
# 12/14/2015 Initialized README file
# Data source: SHIP: Gordon Gunter
# Cruise: GU1305; EcoMon Survey
# Region: U.S. east coast
# EXPOCODE: 33GG20131113
# DATES: 11/14 - 11/24/2013
# Chief Scientist: C. Melrose
# 90 stations with 24 place Rosette
# Hydro: Who - C. Melrose - final
# 	Notes: 
# Nuts: Who - D. Townsend; M. Thomas - final
# 	Notes:
# O2: Who -  C. Melrose; Status - final
# 	Notes: CTDOXY only
# TCO2: Who - R.Wanninkhof; Status - final
# 	Notes: 
# TA: Who - R.Wanninkhof; Status - final
# 	Notes:
# pH: Who - R.Wanninkhof; Status - final
# 	Notes:
# pCO2: Who - ; Status - no data reported
# 	Notes: 
# CFC: Who - ; Status - no data reported 
# 	Notes: 
# DOC: Who - ; Status - no data reported
# 	Notes:
# C13: Who -
# 	Notes: no data in file
# References:
EXPOCODE,CRUISE_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,SAMPLE_ID,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG C,
33GG20131113,GU1305,3,1,602,6,30106,20131114,6:53,38,-74.9617,22,3,13.9713,32.6353,188,2,1.1,2,0,2,0.4,2,0,2,1996.1,2,2204.1,2,7.975,25,2
33GG20131113,GU1305,3,1,601,4,30104,20131114,6:53,38,-74.9617,22,9,13.9733,32.6448,187,2,1.2,2,0,2,0.4,2,0,2,1990.8,2,2196.2,2,7.975,25,2
33GG20131113,GU1305,3,1,600,2,30102,20131114,6:53,38,-74.9617,22,19,13.9931,32.6522,188,2,1.2,2,0.4,2,0.4,2,0,2,1986.2,2,1741.3,4,7.981,25,2
33GG20131113,GU1305,10,2,605,6,100206,20131114,23:09,39.71,-74.0067,23,3,12.0589,31.9587,196,2,2.3,2,0.3,2,0.4,2,0,2,1968.5,2,2134,2,7.953,25,2
33GG20131113,GU1305,10,2,604,4,100204,20131114,23:09,39.71,-74.0067,23,10,12.0448,31.9575,196,2,2.3,2,0.2,2,0.4,2,0.2,2,1977.4,2,2168.1,2,7.953,25,2
33GG20131113,GU1305,10,2,603,2,100202,20131114,23:09,39.71,-74.0067,23,23,12.06,31.9618,196,2,1.9,2,0.1,2,0.5,2,0.4,2,1983.8,2,2165.4,2,7.949,25,2
33GG20131113,GU1305,13,3,609,8,130308,20131115,4:44,39.3617,-73.39,49,3,14.1141,32.9058,165,2,1.2,2,0.5,2,0.3,2,0,2,2021,2,2228.1,2,7.965,25,2
33GG20131113,GU1305,13,3,607,4,130304,20131115,4:44,39.3617,-73.39,49,25,14.1185,32.8972,167,2,1.3,2,0.6,2,0.3,2,0,2,2014,2,2093.5,4,7.97,25,2
33GG20131113,GU1305,13,3,608,4,130304,20131115,4:44,39.3617,-73.39,49,25,14.1185,32.8972,167,2,1.3,2,0.6,2,0.3,2,0,2,2013.8,2,2227.3,2,7.968,25,2
33GG20131113,GU1305,13,3,606,2,130302,20131115,4:44,39.3617,-73.39,49,48,14.136,32.8988,167,2,1.4,2,0.5,2,0.3,2,0,2,2021.5,2,2227.7,2,7.969,25,2
33GG20131113,GU1305,16,4,610,12,160412,20131115,9:53,39.0583,-72.7433,164,3,17.366,35.2278,168,2,1.2,2,0.7,2,0,2,0,2,2054.4,2,2332.8,2,8.06,25,2
33GG20131113,GU1305,16,4,611,4,160404,20131115,9:53,39.0583,-72.7433,164,80,14.826,35.8799,111,2,5.7,2,14,2,0.7,2,0,2,2158.2,2,2354.6,2,7.884,25,2
33GG20131113,GU1305,16,4,612,2,160402,20131115,9:53,39.0583,-72.7433,,,11.5187,35.4698,-999,9,-999,9,-999,9,-999,9,-999,9,2179.6,2,2329.8,2,7.794,25,2
33GG20131113,GU1305,17,5,613,12,170512,20131115,11:15,39.0133,-72.59,1000,3,18.0314,35.2845,167,2,0.7,2,1,2,0,2,0,2,2053.8,2,2331.7,2,8.065,25,2
33GG20131113,GU1305,17,5,614,4,170504,20131115,11:15,39.0133,-72.59,1000,247,9.7129,35.2136,93,2,13.9,2,26,2,1.2,2,0,2,2194.8,2,-999,5,7.73,25,2
33GG20131113,GU1305,17,5,615,2,170502,20131115,11:15,39.0133,-72.59,1000,500,5.7553,35.0374,156,2,11.8,2,20.2,2,0.9,2,0,2,2181.6,2,-999,5,7.758,25,2
33GG20131113,GU1305,24,6,618,12,240612,20131116,9:11,39.8317,-70.6233,930,4,14.1083,33.7818,189,2,1.4,2,0.8,2,0,2,0,2,2036.3,2,2255.7,2,7.99,25,2
33GG20131113,GU1305,24,6,619,12,240612,20131116,9:11,39.8317,-70.6233,930,4,14.1083,33.7818,189,2,1.4,2,0.8,2,0,2,0,2,-999,9,2193,2,-999,-999,9
33GG20131113,GU1305,24,6,617,4,240604,20131116,9:11,39.8317,-70.6233,930,248,10.1339,35.2652,94,2,13.2,2,25.2,2,1.2,2,0,2,2199.8,2,2325.6,2,7.738,25,2
33GG20131113,GU1305,24,6,616,2,240602,20131116,9:11,39.8317,-70.6233,930,501,5.9163,35.021,152,2,11.8,2,20.6,2,1,2,0.1,2,2184,2,-999,5,7.748,25,2
33GG20131113,GU1305,25,7,622,11,250711,20131116,11:04,40.04,-70.6067,161,4,13.2612,33.248,189,2,1.6,2,1.6,2,0,2,0.2,2,-999,9,2227.3,2,-999,-999,9
