Mooring,Latitude,Longitude,Date,Time,xCO2_SW_wet,xCO2_SW_QF,H2O_SW,xCO2_Air_wet,xCO2_Air_QF,H2O_AIR,Licor_Atm_Pressure,Licor_Temp,Percent_O2,SST,SSS,xCO2_SW_dry,xCO2_Air_dry,fCO2_SW_sat,fCO2_Air_sat,dfCO2,pCO2_SW_sat,pCO2_Air_sat,dpCO2,pH,pH_QF
,Dec_Deg,Dec_Deg,MM/DD/YYYY,hh:mm,umol/mol,,umol/mol,umol/mol,,umol/mol,hPa,Deg_C,,Deg_C,PSS,umol/mol,umol/mol,uatm,uatm,uatm,uatm,utam,uatm,pH,
BOBOA_90E_15N,15.002,89.952,11/24/2013,8:17,383.3,2,10.82,381.7,2,10.6,1008.9,30.3,99.33,-999,-999,387.5,385.8,-999,-999,-999,-999,-999,-999,-999,5
BOBOA_90E_15N,15.002,89.952,11/24/2013,8:47,384.4,2,8.15,387.8,2,7.58,1009,30.8,99.5,-999,-999,387.6,390.8,-999,-999,-999,-999,-999,-999,-999,5
BOBOA_90E_15N,15.002,89.952,11/24/2013,9:17,383.4,2,8,388.7,2,7.3,1008.9,31,99.64,-999,-999,386.5,391.6,-999,-999,-999,-999,-999,-999,-999,4
BOBOA_90E_15N,15.002,89.952,11/24/2013,9:47,384,2,8,389.1,2,7.17,1008.8,31.2,99.97,-999,-999,387.1,391.9,-999,-999,-999,-999,-999,-999,-999,5
BOBOA_90E_15N,15.002,89.952,11/24/2013,10:17,382.6,2,7.95,389.5,2,7.1,1008.7,31.3,99.83,-999,-999,385.7,392.3,-999,-999,-999,-999,-999,-999,-999,5
BOBOA_90E_15N,15.002,89.952,11/24/2013,10:47,382.6,2,7.95,389.2,2,7.07,1008.7,31.4,99.91,-999,-999,385.7,392,-999,-999,-999,-999,-999,-999,-999,5
BOBOA_90E_15N,15.002,89.952,11/24/2013,11:17,382.7,2,7.97,389.2,2,7.04,1008.8,31.4,99.96,-999,-999,385.8,392,-999,-999,-999,-999,-999,-999,-999,5
BOBOA_90E_15N,15.002,89.952,11/24/2013,12:17,381.4,2,9.25,389.6,2,8.63,1009.1,31.3,99.91,28.961,31.845,385,393,367.4,375,-7.7,368.5,376.2,-7.7,-999,4
BOBOA_90E_15N,15.002,89.952,11/24/2013,12:47,381.4,2,7.96,390.1,2,7.17,1009.9,31.4,99.87,-999,-999,384.5,393,-999,-999,-999,-999,-999,-999,-999,5
BOBOA_90E_15N,15.002,89.952,11/24/2013,13:17,380.7,2,7.81,389.9,2,7,1010.3,31.4,99.89,-999,-999,383.7,392.6,-999,-999,-999,-999,-999,-999,-999,5
BOBOA_90E_15N,15.002,89.952,11/24/2013,13:47,380.9,2,7.84,390.6,2,7.02,1010.4,31.4,99.93,-999,-999,383.9,393.3,-999,-999,-999,-999,-999,-999,-999,5
BOBOA_90E_15N,15.002,89.952,11/24/2013,14:17,381.1,2,7.89,390,2,6.82,1010.6,31.5,99.88,-999,-999,384.1,392.7,-999,-999,-999,-999,-999,-999,-999,5
BOBOA_90E_15N,15.002,89.952,11/24/2013,14:47,380.4,2,7.87,389.9,2,6.82,1010.6,31.5,99.92,-999,-999,383.4,392.6,-999,-999,-999,-999,-999,-999,-999,5
BOBOA_90E_15N,15.002,89.952,11/24/2013,15:17,380,2,7.77,389.8,2,6.85,1010.5,31.5,99.89,28.845,31.975,383,392.5,366.1,375.1,-9.1,367.2,376.3,-9.1,-999,4
BOBOA_90E_15N,15.002,89.952,11/24/2013,15:47,379,2,7.78,389.6,2,6.77,1010.3,31.5,99.81,-999,-999,381.9,392.3,-999,-999,-999,-999,-999,-999,-999,5
BOBOA_90E_15N,15.002,89.952,11/24/2013,18:17,376,2,10.26,386.8,2,9.53,1009.3,30.3,99.8,28.733,32.191,379.9,390.6,362.8,373,-10.1,363.9,374.1,-10.2,-999,4
BOBOA_90E_15N,15.002,89.952,11/24/2013,21:17,375.8,2,10.4,388.1,2,9.7,1008,29.6,99.67,28.647,32.112,379.7,391.9,362.2,373.8,-11.7,363.3,375,-11.7,-999,4
BOBOA_90E_15N,15.002,89.952,11/25/2013,0:17,374.9,2,10.27,388.7,2,9.62,1007.9,29.2,99.63,28.616,32.125,378.8,392.4,361.3,374.3,-13,362.4,375.5,-13,8.0507,3
BOBOA_90E_15N,15.002,89.952,11/25/2013,3:17,375.5,2,10.11,389.3,2,9.66,1010.6,29,99.52,28.531,31.822,379.3,393.1,362.9,376.1,-13.2,364,377.2,-13.3,8.0528,3
BOBOA_90E_15N,15.002,89.952,11/25/2013,6:17,369.3,2,9.9,390.8,2,9.52,1008.8,28.8,99.5,28.51,31.335,373,394.6,356.2,376.8,-20.6,357.2,377.9,-20.7,8.0614,3
BOBOA_90E_15N,15.002,89.952,11/25/2013,9:17,374,2,9.66,391.1,2,9.33,1005.7,28.6,99.65,28.543,30.826,377.6,394.8,359.4,375.8,-16.4,360.5,376.9,-16.4,8.0623,3
BOBOA_90E_15N,15.002,89.952,11/25/2013,12:17,371,2,9.57,391,2,9.33,1006.5,28.4,99.67,28.507,30.608,374.6,394.7,356.9,376,-19.1,358,377.2,-19.2,8.063,3
BOBOA_90E_15N,15.002,89.952,11/25/2013,15:17,369.8,2,9.72,391.2,2,9.34,1007.2,28.2,99.65,28.467,30.537,373.5,394.9,356.1,376.6,-20.5,357.2,377.7,-20.5,8.0573,3
BOBOA_90E_15N,15.002,89.952,11/25/2013,18:17,366.9,2,9.77,391.2,2,9.39,1005.3,28.1,99.54,28.443,30.397,370.5,394.9,352.6,375.8,-23.2,353.7,376.9,-23.3,8.0657,3
BOBOA_90E_15N,15.002,89.952,11/25/2013,21:17,368.5,2,9.82,389.1,2,9.41,1004.6,28.1,99.49,28.432,30.522,372.2,392.8,353.9,373.5,-19.6,355,374.6,-19.6,8.0581,3
BOBOA_90E_15N,15.002,89.952,11/26/2013,0:17,368.2,2,9.52,389.6,2,9.19,1005.5,28,99.47,28.429,30.694,371.8,393.2,353.9,374.3,-20.4,354.9,375.4,-20.5,8.0622,3
BOBOA_90E_15N,15.002,89.952,11/26/2013,3:17,368,2,10.28,389.1,2,9.91,1006.7,28,99.47,28.442,30.748,371.8,393,354.4,374.5,-20.1,355.4,375.6,-20.2,8.0673,3
