Date,Time,SST,SST_FLAG,SSS,SSS_FLAG,pH,pH_FLAG,DIC,DIC_FLAG
mm/dd/yyyy,HH:MM,Deg_C,,PSS,,,,UMOL/KG,
10/31/2013,22:30,27.2284,2,35.1891,2,NaN,6,2039,2
10/31/2013,23:00,27.2634,2,35.1543,2,NaN,6,2032,2
10/31/2013,23:30,27.1499,2,35.1761,2,NaN,6,2026,2
11/1/2013,0:00,27.1499,2,35.1757,2,NaN,6,2019,2
11/1/2013,0:30,27.1621,2,35.1799,2,NaN,6,2012,2
11/1/2013,1:00,27.2162,2,35.1773,2,NaN,6,2007,2
11/1/2013,1:30,27.2141,2,35.1769,2,NaN,6,2001,2
11/1/2013,2:00,27.2252,2,35.1897,2,NaN,6,1994,2
11/1/2013,3:00,27.1772,2,35.1895,2,NaN,6,1999,2
11/1/2013,6:00,27.0806,2,35.1974,2,NaN,6,2008,2
11/1/2013,9:00,26.9743,2,35.2039,2,NaN,6,2018,2
11/1/2013,12:00,26.8715,2,35.2119,2,8.02,2,2029,2
11/1/2013,15:00,26.8474,2,35.2003,2,8.03,2,2033,2
11/1/2013,18:00,26.97,2,35.2174,2,8.04,2,2035,2
11/1/2013,21:00,27.171,2,35.2246,2,8.04,2,2023,2
11/2/2013,0:00,27.1715,2,35.2147,2,8.03,2,2017,2
11/2/2013,3:00,27.2954,2,35.1786,2,8.04,2,1994,2
11/2/2013,6:00,27.095,2,35.2174,2,8.04,2,1991,2
11/2/2013,9:00,27.0541,2,35.2188,2,8.05,2,2005,2
11/2/2013,12:00,26.8994,2,35.2281,2,8.04,2,2014,2
11/2/2013,15:00,26.7898,2,35.2177,2,8.04,2,2023,2
11/2/2013,18:00,26.7106,2,35.2282,2,8.03,2,2026,2
11/2/2013,21:00,NaN,6,NaN,6,8.04,2,NaN,6
11/3/2013,0:00,NaN,6,NaN,6,8.05,2,NaN,6
11/3/2013,3:00,26.9311,2,35.2312,2,8.04,2,1998,2
11/3/2013,6:00,26.8271,2,35.2242,2,8.05,2,2000,2
11/3/2013,9:00,26.7848,2,35.2278,2,8.04,2,2009,2
11/3/2013,12:00,26.7615,2,35.23,2,8.04,2,2019,2
11/3/2013,15:00,26.6859,2,35.2396,2,8.05,2,2022,2
11/3/2013,18:00,26.6406,2,35.2425,2,8.04,2,2025,2
11/3/2013,21:00,26.758,2,35.245,2,8.04,2,2016,2
11/4/2013,0:00,26.8847,2,35.2461,2,8.05,2,2006,2
11/4/2013,3:00,26.8401,2,35.227,2,8.05,2,1995,2
11/4/2013,6:00,26.7975,2,35.225,2,8.05,2,1996,2
11/4/2013,9:00,26.7486,2,35.239,2,8.05,2,2008,2
11/4/2013,12:00,26.7364,2,35.2444,2,8.05,2,2017,2
11/4/2013,15:00,26.7382,2,35.2454,2,8.05,2,2021,2
11/4/2013,18:00,26.7029,2,35.2464,2,8.04,2,2027,2
11/4/2013,21:00,26.8284,2,35.237,2,8.04,2,2016,2
11/5/2013,0:00,26.903,2,35.2428,2,8.04,2,2002,2
11/5/2013,3:00,26.8958,2,35.2545,2,8.06,2,1976,2
11/5/2013,6:00,NaN,6,NaN,6,8.06,2,NaN,6
11/5/2013,9:00,NaN,6,NaN,6,8.05,2,NaN,6
11/5/2013,12:00,26.704,2,35.25,2,8.04,2,2008,2
11/5/2013,15:00,26.6308,2,35.2513,2,8.04,2,2015,2
11/5/2013,18:00,26.5248,2,35.2339,2,8.04,2,2021,2
11/5/2013,21:00,26.8459,2,35.2484,2,8.05,2,2004,2
11/6/2013,0:00,26.9696,2,35.2389,2,8.06,2,1994,2
11/6/2013,3:00,26.6627,2,35.2567,2,8.06,2,1975,2
11/6/2013,6:00,26.7103,2,35.2451,2,8.05,2,1978,2
11/6/2013,9:00,26.7059,2,35.2401,2,8.05,2,1988,2
11/6/2013,12:00,26.795,2,35.2249,2,8.05,2,2002,2
11/6/2013,15:00,26.8343,2,35.2129,2,8.05,2,2009,2
11/6/2013,18:00,26.7805,2,35.2179,2,8.05,2,2016,2
11/6/2013,21:00,27.045,2,35.2256,2,8.05,2,2005,2
11/7/2013,0:00,26.9921,2,35.2243,2,8.05,2,1994,2
11/7/2013,3:00,27.122,2,35.1962,2,8.06,2,1981,2
11/7/2013,6:00,26.9117,2,35.226,2,8.07,2,1983,2
11/7/2013,9:00,26.8033,2,35.2211,2,8.05,2,2004,2
11/7/2013,12:00,26.73,2,35.2302,2,8.05,2,2011,2
11/7/2013,15:00,26.6602,2,35.2362,2,8.04,2,2019,2
11/7/2013,18:00,26.6334,2,35.2374,2,8.04,2,2021,2
11/7/2013,21:00,27.0399,2,35.212,2,8.04,2,2008,2
11/8/2013,0:00,26.9604,2,35.2205,2,8.05,2,1994,2
11/8/2013,3:00,27.1993,2,35.2033,2,8.06,2,1982,2
11/8/2013,6:00,26.9489,2,35.1967,2,8.04,2,1974,2
11/8/2013,9:00,26.7984,2,35.2113,2,8.04,2,1987,2
11/8/2013,12:00,26.77,2,35.2107,2,8.04,2,1996,2
11/8/2013,15:00,26.7118,2,35.2242,2,8.05,2,2005,2
11/8/2013,18:00,26.6956,2,35.2277,2,8.03,2,2011,2
11/8/2013,21:00,26.8766,2,35.2325,2,8.03,2,2005,2
11/9/2013,0:00,27.2274,2,35.2288,2,8.03,2,1985,2
11/9/2013,3:00,27.1251,2,35.2204,2,8.02,2,1976,2
11/9/2013,6:00,26.8577,2,35.2267,2,8.05,2,1967,2
11/9/2013,9:00,NaN,6,NaN,6,8.05,2,NaN,6
11/9/2013,12:00,NaN,6,NaN,6,8.04,2,NaN,6
11/9/2013,15:00,NaN,6,NaN,6,8.04,2,NaN,6
11/9/2013,18:00,NaN,6,NaN,6,8.04,2,NaN,6
11/9/2013,21:00,26.8538,2,35.21,2,8.03,2,2003,2
11/10/2013,0:00,27.0271,2,35.1694,2,8.01,2,1978,2
11/10/2013,3:00,26.8698,2,35.1284,2,8.04,2,1981,2
11/10/2013,6:00,26.7854,2,35.2131,2,8.04,2,1992,2
11/10/2013,9:00,26.5753,2,34.8684,2,8.03,2,1990,2
11/10/2013,12:00,26.6751,2,35.1535,2,8.05,2,2018,2
11/10/2013,15:00,NaN,6,NaN,6,7.99,3,NaN,6
11/10/2013,18:00,NaN,6,NaN,6,8,2,NaN,6
11/10/2013,21:00,26.6736,2,35.049,2,8.01,2,2027,2
11/11/2013,0:00,26.6722,2,34.9598,2,8.03,2,2012,2
11/11/2013,3:00,26.5713,2,35.0105,2,8.05,2,2010,2
11/11/2013,6:00,26.4061,2,35.0591,2,8.06,2,2007,2
11/11/2013,9:00,26.4452,2,35.0631,2,8.05,2,2013,2
11/11/2013,12:00,26.3727,2,35.1511,2,8.05,2,2019,2
11/11/2013,15:00,26.1353,2,35.192,2,8.05,2,2024,2
11/11/2013,18:00,26.1139,2,35.2261,2,8.05,2,2024,2
11/11/2013,21:00,26.2789,2,35.1873,2,8.05,2,2016,2
11/12/2013,0:00,26.3204,2,35.1903,2,8.05,2,2009,2
11/12/2013,3:00,26.3854,2,35.1884,2,8.06,2,2004,2
11/12/2013,6:00,26.3646,2,35.1881,2,8.06,2,2001,2
11/12/2013,9:00,26.3078,2,35.191,2,8.06,2,2011,2
11/12/2013,12:00,26.1902,2,35.1483,2,8.05,2,2019,2
11/12/2013,15:00,25.9453,2,35.1211,2,8.04,2,2026,2
11/12/2013,18:00,26.0833,2,35.1458,2,8.05,2,2027,2
11/12/2013,21:00,26.1216,2,35.0615,2,8.05,2,2018,2
11/13/2013,0:00,26.184,2,35.1454,2,8.05,2,2006,2
11/13/2013,3:00,26.1925,2,35.1363,2,8.06,2,1991,2
11/13/2013,6:00,26.0884,2,35.083,2,8.05,2,2000,2
11/13/2013,9:00,25.8272,2,35.0144,2,8.05,2,2011,2
11/13/2013,12:00,25.9716,2,35.1802,2,8.05,2,2020,2
11/13/2013,15:00,26.0169,2,35.1934,2,8.05,2,2025,2
11/13/2013,18:00,26.0212,2,35.2097,2,8.05,2,2028,2
11/13/2013,21:00,26.1724,2,35.2273,2,8.05,2,2015,2
11/14/2013,0:00,26.4544,2,35.2477,2,8.06,2,1994,2
11/14/2013,3:00,26.2983,2,35.1807,2,8.06,2,2012,2
11/14/2013,6:00,26.2554,2,35.2003,2,8.05,2,1994,2
11/14/2013,9:00,26.2284,2,35.2228,2,8.06,2,2005,2
11/14/2013,12:00,26.2174,2,35.2309,2,8.05,2,2010,2
11/14/2013,15:00,26.0976,2,35.1473,2,8.05,2,2014,2
11/14/2013,18:00,26.1284,2,35.1965,2,8.05,2,2016,2
11/14/2013,21:00,26.2247,2,35.1833,2,8.05,2,2009,2
11/15/2013,0:00,26.3079,2,35.2165,2,8.05,2,1996,2
11/15/2013,3:00,26.3489,2,35.0645,2,8.03,2,2002,2
11/15/2013,6:00,26.2711,2,35.1057,2,8.05,2,1991,2
11/15/2013,9:00,26.1816,2,35.1438,2,8.04,2,1998,2
11/15/2013,12:00,26.0849,2,34.9563,2,8.02,2,2001,2
11/15/2013,15:00,26.0748,2,35.0229,2,8.04,2,2011,2
11/15/2013,18:00,26.0507,2,34.9668,2,8.04,2,2015,2
11/15/2013,21:00,26.2112,2,35.0195,2,8.06,2,2007,2
11/16/2013,0:00,26.3258,2,34.8707,2,8.03,2,1994,2
11/16/2013,3:00,26.3126,2,35.0112,2,8.05,2,1999,2
11/16/2013,6:00,26.2898,2,34.7154,2,8.06,2,1978,2
11/16/2013,9:00,26.1417,2,34.9441,2,8.05,2,1993,2
11/16/2013,12:00,26.1262,2,34.9492,2,8.05,2,2000,2
11/16/2013,15:00,26.0914,2,34.9095,2,8.04,2,2006,2
11/16/2013,18:00,26.1754,2,35.0305,2,8.02,2,2011,2
11/16/2013,21:00,26.2835,2,35.0506,2,8.03,2,1998,2
11/17/2013,0:00,26.3645,2,35.0617,2,8.04,2,1987,2
11/17/2013,3:00,26.3579,2,35.1198,2,8.06,2,1978,2
11/17/2013,6:00,26.2944,2,35.1293,2,8.05,2,1983,2
11/17/2013,9:00,26.1792,2,35.146,2,8.05,2,1990,2
11/17/2013,12:00,26.092,2,35.173,2,8.05,2,2000,2
11/17/2013,15:00,25.9405,2,35.0687,2,8.03,2,2010,2
11/17/2013,18:00,26.0423,2,35.1,2,8.01,2,2017,2
11/17/2013,21:00,26.227,2,35.0959,2,8.03,2,2004,2
11/18/2013,0:00,26.585,2,35.1315,2,8.04,2,1978,2
11/18/2013,3:00,26.5157,2,35.1556,2,8.05,2,1976,2
11/18/2013,6:00,26.4712,2,35.1347,2,8.06,2,1977,2
11/18/2013,9:00,NaN,6,NaN,6,8.04,2,NaN,6
11/18/2013,12:00,NaN,6,NaN,6,8.02,2,NaN,6
11/18/2013,15:00,26.1034,2,35.2055,2,8.05,2,2003,2
11/18/2013,18:00,26.0547,2,35.113,2,8,2,2015,2
11/18/2013,21:00,26.2003,2,35.1807,2,8.04,2,1998,2
11/19/2013,0:00,26.3104,2,35.1568,2,8.05,2,1972,2
11/19/2013,3:00,26.396,2,35.153,2,8.04,2,1978,2
11/19/2013,6:00,26.2805,2,35.22,2,8.05,2,1981,2
11/19/2013,9:00,26.2652,2,35.1476,2,8.03,2,1994,2
11/19/2013,12:00,26.042,2,35.2334,2,8.04,2,2005,2
11/19/2013,15:00,25.9215,2,35.2439,2,8.06,2,2015,2
11/19/2013,18:00,25.9171,2,35.1855,2,8.04,2,2019,2
11/19/2013,21:00,26.2088,2,35.1919,2,8.01,2,2011,2
11/20/2013,0:00,26.096,2,35.2661,2,8.05,2,1990,2
11/20/2013,3:00,26.2469,2,35.2278,2,8.04,2,1997,2
11/20/2013,6:00,26.1986,2,35.2537,2,8.06,2,1979,2
11/20/2013,9:00,26.281,2,35.205,2,8.05,2,1990,2
11/20/2013,12:00,26.0583,2,35.2127,2,8.04,2,2003,2
11/20/2013,15:00,26.0099,2,35.2503,2,8.05,2,2010,2
11/20/2013,18:00,26.0416,2,35.2719,2,8.05,2,2012,2
11/20/2013,21:00,26.1993,2,35.2005,2,8.03,2,2006,2
11/21/2013,0:00,26.3228,2,35.1859,2,8.05,2,1987,2
11/21/2013,3:00,26.2052,2,35.2305,2,8.05,2,1976,2
11/21/2013,6:00,26.1344,2,35.2577,2,8.04,2,1979,2
11/21/2013,9:00,26.1049,2,35.2626,2,8.04,2,1990,2
11/21/2013,12:00,26.0778,2,35.2159,2,8.03,2,2004,2
11/21/2013,15:00,25.9632,2,35.2779,2,8.04,2,2007,2
11/21/2013,18:00,25.9483,2,35.2986,2,8.05,2,2008,2
11/21/2013,21:00,25.9949,2,35.2371,2,7.98,2,2013,2
11/22/2013,0:00,26.3856,2,35.2296,2,7.97,2,1996,2
11/22/2013,3:00,26.304,2,35.2831,2,8.02,2,1995,2
11/22/2013,6:00,26.2984,2,35.2308,2,8.04,2,1964,2
11/22/2013,9:00,26.2728,2,35.2477,2,8.03,2,1986,2
11/22/2013,12:00,26.099,2,35.2101,2,8.03,2,1999,2
11/22/2013,15:00,26.0052,2,35.2481,2,8.04,2,2009,2
11/22/2013,18:00,25.9898,2,35.3039,2,8.03,2,2015,2
11/22/2013,21:00,26.195,2,35.2926,2,8.03,2,2000,2
11/23/2013,0:00,26.4715,2,35.2747,2,8.02,2,2000,2
11/23/2013,3:00,26.537,2,35.2617,2,8.04,2,1987,2
11/23/2013,6:00,26.2709,2,35.2932,2,8.06,2,1959,2
11/23/2013,9:00,26.033,2,35.3206,2,8.05,2,1988,2
11/23/2013,12:00,26.0021,2,35.3312,2,8.05,2,2002,2
11/23/2013,15:00,25.9362,2,35.3033,2,8.04,2,2011,2
11/23/2013,18:00,25.9217,2,35.3264,2,8.04,2,2017,2
11/23/2013,21:00,26.0101,2,35.3057,2,8.01,2,2009,2
11/24/2013,0:00,26.0965,2,35.3216,2,8.04,2,1994,2
11/24/2013,3:00,26.0574,2,35.3102,2,8.06,2,1975,2
11/24/2013,6:00,25.9174,2,35.3428,2,8.06,2,1980,2
11/24/2013,9:00,25.8987,2,35.3438,2,8.05,2,1999,2
11/24/2013,12:00,25.8095,2,35.3373,2,8.05,2,2009,2
11/24/2013,15:00,25.8239,2,35.346,2,8.05,2,2016,2
11/24/2013,18:00,25.8073,2,35.348,2,8.06,2,2020,2
11/24/2013,21:00,25.8534,2,35.3501,2,8.05,2,2007,2
11/25/2013,0:00,25.9835,2,35.3276,2,8.04,2,1996,2
11/25/2013,3:00,25.9484,2,35.3495,2,8.05,2,1993,2
11/25/2013,6:00,25.9169,2,35.3525,2,8.05,2,1975,2
11/25/2013,9:00,25.8562,2,35.3503,2,8.06,2,1997,2
11/25/2013,12:00,25.8394,2,35.3425,2,8.06,2,2002,2
11/25/2013,15:00,25.8312,2,35.3353,2,8.06,2,2005,2
11/25/2013,18:00,25.7922,2,35.3378,2,8.06,2,2006,2
11/25/2013,21:00,25.8073,2,35.3382,2,8.05,2,2000,2
11/26/2013,0:00,25.8267,2,35.3416,2,8.06,2,1986,2
11/26/2013,3:00,25.834,2,35.3355,2,8.06,2,1978,2
11/26/2013,6:00,25.7814,2,35.3327,2,8.06,2,1980,2
11/26/2013,9:00,25.7886,2,35.3225,2,8.06,2,1997,2
11/26/2013,12:00,25.767,2,35.3213,2,8.06,2,2001,2
11/26/2013,15:00,25.7157,2,35.3233,2,8.06,2,2006,2
11/26/2013,18:00,25.7533,2,35.3154,2,8.06,2,2005,2
11/26/2013,21:00,NaN,6,NaN,6,8.06,2,NaN,6
11/27/2013,0:00,NaN,6,NaN,6,8.06,2,NaN,6
11/27/2013,3:00,25.9353,2,35.2963,2,8.06,2,1974,2
11/27/2013,6:00,25.8891,2,35.2996,2,8.06,2,1984,2
11/27/2013,9:00,25.8445,2,35.3043,2,8.06,2,1990,2
11/27/2013,12:00,25.7227,2,35.2847,2,8.06,2,1997,2
11/27/2013,15:00,25.7287,2,35.3097,2,8.06,2,2003,2
11/27/2013,18:00,25.6965,2,35.3142,2,8.05,2,2006,2
11/27/2013,21:00,25.8366,2,35.3162,2,8.06,2,1995,2
11/28/2013,0:00,26.0419,2,35.3301,2,8.06,2,1992,2
11/28/2013,3:00,25.9818,2,35.2971,2,8.06,2,1991,2
11/28/2013,6:00,25.9705,2,35.327,2,8.06,2,1963,2
11/28/2013,9:00,25.8937,2,35.2896,2,8.05,2,1988,2
11/28/2013,12:00,25.8404,2,35.3247,2,8.04,2,2001,2
11/28/2013,15:00,25.8491,2,35.3282,2,8.06,2,2006,2
11/28/2013,18:00,25.8084,2,35.3267,2,8.06,2,2008,2
11/28/2013,21:00,25.8498,2,35.327,2,8.05,2,1993,2
11/29/2013,0:00,25.9878,2,35.3123,2,8.06,2,1993,2
11/29/2013,3:00,26.1149,2,35.2966,2,8.06,2,1966,2
11/29/2013,6:00,25.9872,2,35.3068,2,8.06,2,1976,2
11/29/2013,9:00,25.8872,2,35.3235,2,8.06,2,1990,2
11/29/2013,12:00,NaN,6,NaN,6,8.06,2,NaN,6
11/29/2013,15:00,NaN,6,NaN,6,8.06,2,NaN,6
11/29/2013,18:00,25.7985,2,35.3193,2,8.05,2,2010,2
11/29/2013,21:00,25.868,2,35.3321,2,8.06,2,2006,2
11/30/2013,0:00,25.7545,2,35.28,2,8.06,2,1990,2
11/30/2013,3:00,25.7807,2,35.259,2,8.06,2,1992,2
11/30/2013,6:00,25.8206,2,35.3024,2,8.05,2,1998,2
11/30/2013,9:00,25.7843,2,35.3014,2,8.05,2,2003,2
11/30/2013,12:00,25.7762,2,35.2859,2,8.06,2,2004,2
11/30/2013,15:00,25.6842,2,35.2829,2,8.04,2,2011,2
11/30/2013,18:00,25.6724,2,35.2857,2,8.04,2,2010,2
11/30/2013,21:00,25.7237,2,35.2919,2,8.05,2,2005,2
12/1/2013,0:00,25.7656,2,35.3016,2,8.06,2,2001,2
12/1/2013,3:00,25.699,2,35.3062,2,8.06,2,2002,2
12/1/2013,6:00,25.752,2,35.3105,2,8.06,2,2001,2
12/1/2013,9:00,25.6526,2,35.2804,2,8.05,2,2004,2
12/1/2013,12:00,25.6229,2,35.2961,2,8.05,2,2009,2
12/1/2013,15:00,25.6107,2,35.3078,2,8.05,2,2010,2
12/1/2013,18:00,25.5666,2,35.2879,2,8.05,2,2008,2
12/1/2013,21:00,25.4964,2,35.0071,2,8.06,2,2005,2
12/2/2013,0:00,25.5127,2,35.1111,2,8.07,2,2014,2
12/2/2013,3:00,25.2665,2,34.7379,2,8.03,2,2017,2
12/2/2013,6:00,25.2935,2,34.9396,2,8.01,2,2021,2
12/2/2013,9:00,25.3342,2,35.0066,2,8.02,2,2021,2
12/2/2013,12:00,25.3026,2,34.9433,2,8.02,2,2021,2
12/2/2013,15:00,25.2798,2,35.0813,2,8.01,2,2025,2
12/2/2013,18:00,25.3011,2,35.0428,2,8.02,2,2020,2
12/2/2013,21:00,25.5616,2,35.1523,2,8.01,2,2011,2
12/3/2013,0:00,25.891,2,35.171,2,8.03,2,2004,2
12/3/2013,3:00,25.7964,2,34.9802,2,8.06,2,1981,2
12/3/2013,6:00,25.8652,2,35.0519,2,8.06,2,1987,2
12/3/2013,9:00,25.6382,2,35.2211,2,8.06,2,1981,2
12/3/2013,12:00,25.5711,2,35.1629,2,8.04,2,2004,2
12/3/2013,15:00,25.4198,2,35.0826,2,8.04,2,2011,2
12/3/2013,18:00,25.4157,2,35.183,2,8.06,2,2012,2
12/3/2013,21:00,25.759,2,35.1545,2,8.03,2,1998,2
12/4/2013,0:00,25.7499,2,35.2205,2,8.05,2,1997,2
12/4/2013,3:00,25.9144,2,35.1367,2,8.06,2,1991,2
12/4/2013,6:00,25.6092,2,35.2778,2,8.06,2,1967,2
12/4/2013,9:00,25.6054,2,35.2401,2,8.05,2,1990,2
12/4/2013,12:00,25.4892,2,35.2273,2,8.05,2,1999,2
12/4/2013,15:00,25.4177,2,35.2515,2,8.04,2,2008,2
12/4/2013,18:00,25.2944,2,35.1666,2,8.03,2,2013,2
12/4/2013,21:00,25.5968,2,35.2276,2,8.05,2,1996,2
12/5/2013,0:00,25.6458,2,35.2759,2,8.05,2,1986,2
12/5/2013,3:00,25.6375,2,35.2424,2,8.06,2,1982,2
12/5/2013,6:00,25.4822,2,35.3142,2,8.06,2,1973,2
12/5/2013,9:00,25.4441,2,35.2964,2,8.05,2,1995,2
12/5/2013,12:00,25.4497,2,35.2996,2,8.06,2,2003,2
12/5/2013,15:00,25.4348,2,35.3227,2,8.06,2,2009,2
12/5/2013,18:00,25.4232,2,35.3228,2,8.06,2,2014,2
12/5/2013,21:00,25.5505,2,35.3403,2,8.06,2,2003,2
12/6/2013,0:00,25.9907,2,35.3376,2,8.06,2,1989,2
12/6/2013,3:00,25.87,2,35.2015,2,8.06,2,1990,2
12/6/2013,6:00,25.7252,2,35.3003,2,8.06,2,1982,2
12/6/2013,9:00,25.722,2,35.2969,2,8.06,2,1977,2
12/6/2013,12:00,25.5789,2,35.2259,2,8.04,2,2003,2
12/6/2013,15:00,25.4454,2,35.2518,2,8.03,2,2012,2
12/6/2013,18:00,25.4499,2,35.3158,2,8.04,2,2014,2
12/6/2013,21:00,25.7626,2,35.3475,2,8.06,2,2000,2
12/7/2013,0:00,25.9327,2,35.2683,2,8.05,2,2002,2
12/7/2013,3:00,25.8635,2,35.3333,2,8.07,2,1965,2
12/7/2013,6:00,25.569,2,35.2978,2,8.06,2,1964,2
12/7/2013,9:00,25.4721,2,35.3293,2,8.06,2,1988,2
12/7/2013,12:00,25.4298,2,35.3249,2,8.06,2,1998,2
12/7/2013,15:00,25.3818,2,35.3222,2,8.06,2,2005,2
12/7/2013,18:00,25.3658,2,35.3388,2,8.06,2,2009,2
12/7/2013,21:00,25.4694,2,35.327,2,8.05,2,2001,2
12/8/2013,0:00,25.8146,2,35.3339,2,8.06,2,2000,2
12/8/2013,3:00,25.6844,2,35.3122,2,8.06,2,1990,2
12/8/2013,6:00,25.6892,2,35.2992,2,8.07,2,1974,2
12/8/2013,9:00,25.5425,2,35.3274,2,8.06,2,1973,2
12/8/2013,12:00,25.4878,2,35.3143,2,8.05,2,2001,2
12/8/2013,15:00,25.442,2,35.3207,2,8.06,2,2007,2
12/8/2013,18:00,25.4338,2,35.3042,2,8.06,2,2009,2
12/8/2013,21:00,25.5179,2,35.3444,2,8.05,2,1997,2
12/9/2013,0:00,25.6943,2,35.3569,2,8.05,2,2005,2
12/9/2013,3:00,25.9052,2,35.346,2,8.05,2,1997,2
12/9/2013,6:00,25.6454,2,35.3432,2,8.06,2,1964,2
12/9/2013,9:00,25.6059,2,35.3367,2,8.07,2,1985,2
12/9/2013,12:00,25.5506,2,35.3476,2,8.05,2,1994,2
12/9/2013,15:00,25.528,2,35.3506,2,8.04,2,2000,2
12/9/2013,18:00,25.4667,2,35.3564,2,8.04,2,2001,2
12/9/2013,21:00,25.6045,2,35.3512,2,8.05,2,1991,2
12/10/2013,0:00,25.8958,2,35.3504,2,8.05,2,1990,2
12/10/2013,3:00,25.8693,2,35.3448,2,8.06,2,1983,2
12/10/2013,6:00,25.545,2,35.36,2,8.07,2,1949,2
12/10/2013,9:00,25.5025,2,35.3145,2,8.07,2,1977,2
12/10/2013,12:00,25.5423,2,35.3506,2,8.07,2,1989,2
12/10/2013,15:00,25.515,2,35.3348,2,8.05,2,1997,2
12/10/2013,18:00,25.5159,2,35.3437,2,8.05,2,1999,2
12/10/2013,21:00,25.5423,2,35.3592,2,8.05,2,1995,2
12/11/2013,0:00,25.7846,2,35.3493,2,8.03,2,1977,2
