EXPOCODE,SECT_ID,LINE,STA,CAST,BTL,BTL_QC,DATE,TIME,LAT,LONG,Bot Depth,Press (db),CTD T C° ITS-90,CTD SALT,CTD_QC,bot salt,Bot_Salt_QC,CTD OXY µmol/kg,Bot O2 µmol/kg,Bot_O2_QC,Silicate µmol/kg,Nitrate µmol/kg,Nitrite µmol/kg,Phosphate µmol/kg,Ammonia µmol/kg,DIC µmol/kg,DIC_QC,TA µmol/kg,TA_QC,pH total meas 25°C,pH_QC,Chlorophyll a concentration µg/L,PON µmol/L,POC µmol/L,POC/PON mol/mol,PON µmol/kg,POC µmol/kg
32WC20110812,WCOA2011,1,1,1,1,2,8/12/2011,14:21:41,47.11,-126.05,2292,2309.55,1.759,34.636,2,34.6326,2,75.6,75.61,6,185.3,40.02,0.05,2.89,0.01,2386.8,6,2436.3,2,7.447,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,1,1,2,2,8/12/2011,14:21:59,47.11,-126.05,2292,2309.62,1.759,34.636,2,-999,9,72,-999,9,-999,-999,-999,-999,-999,-999,9,-999,9,-999,9,-999,0.37,3.75,10.2,0.38,3.86
32WC20110812,WCOA2011,1,1,1,3,2,8/12/2011,14:23:39,47.11,-126.05,2292,2286.28,1.759,34.636,2,-999,9,71.9,-999,9,185.22,39.98,0.04,2.91,0.01,2385.8,2,2429.4,6,7.442,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,1,1,4,2,8/12/2011,14:34:10,47.11,-126.05,2292,2001.71,1.9,34.606,2,-999,9,60,-999,9,177.83,41.07,0.07,2.95,0.02,2386,2,2420.9,2,7.413,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,1,1,5,2,8/12/2011,14:44:11,47.11,-126.05,2292,1488.59,2.675,34.519,2,-999,9,29.6,29.38,2,156.19,43.01,0.05,3.13,0.01,2385.9,2,2395.7,2,7.34,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,1,1,6,2,8/12/2011,14:55:48,47.11,-126.05,2292,1001.14,3.771,34.395,2,-999,9,11.2,10.65,2,124.74,43.58,0.02,3.21,0.01,2368.1,2,2363.6,2,7.3,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,1,1,7,2,8/12/2011,15:01:39,47.11,-126.05,2292,758.77,4.351,34.293,2,-999,9,10.7,9.78,2,108.3,42.86,0.03,3.19,0.02,2350.9,2,2339.8,2,7.287,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,1,1,8,2,8/12/2011,15:07:13,47.11,-126.05,2292,500.38,5.233,34.11,2,-999,9,30.6,30.44,2,82.14,40.57,0.03,2.97,0.02,2308.4,2,2305.3,2,7.297,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,1,1,9,2,8/12/2011,15:10:10,47.11,-126.05,2292,401.24,5.772,34.071,2,-999,9,39.9,-999,9,71.85,38.46,0.04,2.85,0.02,2291.7,2,2290.7,2,7.319,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,1,1,10,2,8/12/2011,15:12:57,47.11,-126.05,2292,301.07,6.267,33.998,2,-999,9,65.5,-999,9,59.64,36.07,0.03,2.6,0.02,2262.5,2,2279.6,2,7.36,2,-999,-999,-999,-999,-999,-999
